lamb,n,q,d,k,sigma,B,deltaOL,deltaM
100,512,1021,2,463,0.54,8,233,233
100,512,1213,2,124,0.54,8,232,232
100,512,1429,2,74,0.55,8,231,231
100,512,1709,2,53,0.55,8,230,230
100,512,2029,2,42,0.55,8,229,229
100,512,2389,2,35,0.55,8,228,228
100,512,2861,2,30,0.55,8,228,228
100,512,3413,2,26,0.55,8,227,227
100,512,4093,2,24,0.55,8,226,226
100,512,4861,2,22,0.55,8,225,225
100,512,5749,2,20,0.55,8,225,225
100,512,6869,2,19,0.55,8,224,224
100,512,8117,2,18,0.55,8,223,223
100,512,9733,2,16,0.55,8,223,223
100,512,11549,2,16,0.55,8,222,222
100,512,13757,2,15,0.55,8,222,222
100,512,16381,2,14,0.55,8,221,221
100,512,19477,2,26,1.18,16,221,221
100,512,23117,2,23,1.19,16,220,220
100,512,27541,2,22,1.19,16,220,220
100,512,32749,2,20,1.19,16,219,219
100,512,38933,2,19,1.19,16,219,219
100,512,46309,2,18,1.19,16,218,218
100,512,55061,2,17,1.19,16,218,218
100,512,65437,2,16,1.19,16,218,218
100,512,77893,2,16,1.19,16,217,217
100,512,92669,2,15,1.19,16,217,217
100,512,110069,2,25,2.45,32,217,217
100,512,130981,2,23,2.46,32,216,216
100,512,155861,2,22,2.46,32,216,216
100,512,185309,2,20,2.46,32,216,216
100,512,220421,2,19,2.46,32,215,215
100,512,262133,2,18,2.46,32,215,215
100,512,311677,2,18,2.46,32,215,215
100,512,370693,2,17,2.46,32,215,215
100,512,440821,2,28,4.99,64,214,214
100,512,524269,2,26,4.99,64,214,214
100,512,623477,2,24,4.99,64,214,214
100,512,741413,2,23,4.99,64,214,214
100,512,881669,2,22,5.0,64,213,213
100,512,1048573,2,21,5.0,64,213,213
100,512,1246829,2,20,5.0,64,213,213
100,512,1482869,2,33,10.05,128,213,213
100,512,1763477,2,31,10.06,128,213,213
100,512,2097133,2,29,10.06,128,212,212
100,512,2493877,2,27,10.06,128,212,212
100,512,2965757,2,25,10.07,128,212,212
100,512,3526949,2,24,10.07,128,212,212
100,512,4194301,2,23,10.07,128,212,212
100,512,4987877,2,22,10.08,128,211,211
100,512,5931637,2,37,20.17,256,211,211
100,512,7053877,2,34,20.18,256,211,211
100,512,8388581,2,31,20.19,256,211,211
100,512,9975773,2,29,20.2,256,211,211
100,512,11863253,2,27,20.21,256,211,211
100,512,14107837,2,26,20.22,256,211,211
100,512,16777213,2,25,20.22,256,210,210
100,512,19951549,2,44,40.39,512,210,210
100,512,23726557,2,40,40.41,512,210,210
100,512,28215757,2,37,40.43,512,210,210
100,512,33554341,2,34,40.45,512,210,210
100,512,39903077,2,32,40.47,512,210,210
100,512,47453053,2,30,40.48,512,210,210
100,512,56431597,2,60,80.7,1024,210,210
100,512,67108837,2,53,80.76,1024,209,209
100,512,79806317,2,47,80.82,1024,209,209
100,512,94906213,2,43,80.87,1024,209,209
100,512,112863197,2,40,80.9,1024,209,209
100,512,134217613,2,37,80.94,1024,209,209
100,512,159612653,2,34,80.99,1024,209,209
100,512,189812501,2,74,161.27,2048,209,209
100,512,225726349,2,64,161.42,2048,209,209
100,512,268435157,2,57,161.53,2048,209,209
100,512,319225229,2,51,161.64,2048,208,208
100,512,379624981,2,46,161.75,2048,208,208
100,512,451452797,2,42,161.84,2048,208,208
100,512,536870909,2,117,321.71,4096,208,208
100,512,638450677,2,94,322.15,4096,208,208
100,512,759249973,2,79,322.49,4096,208,208
100,512,902905637,2,69,322.77,4096,208,208
100,512,1073741789,2,61,323.01,4096,208,208
100,512,34359737917,2,141,2571.32,32768,206,206
100,1024,1021,2,460,0.54,8,233,233
100,1024,1213,2,123,0.54,8,232,232
100,1024,1429,2,74,0.54,8,231,231
100,1024,1709,2,52,0.55,8,230,230
100,1024,2029,2,41,0.55,8,229,229
100,1024,2389,2,35,0.55,8,228,228
100,1024,2861,2,30,0.55,8,228,228
100,1024,3413,2,26,0.55,8,227,227
100,1024,4093,2,24,0.55,8,226,226
100,1024,4861,2,22,0.55,8,225,225
100,1024,5749,2,20,0.55,8,225,225
100,1024,6869,2,19,0.55,8,224,224
100,1024,8117,2,17,0.55,8,223,223
100,1024,9733,2,16,0.55,8,223,223
100,1024,11549,2,16,0.55,8,222,222
100,1024,13757,2,15,0.55,8,222,222
100,1024,16381,2,14,0.55,8,221,221
100,1024,19477,2,14,0.55,8,221,221
100,1024,23117,2,13,0.55,8,220,220
100,1024,27541,2,13,0.55,8,220,220
100,1024,32749,2,12,0.55,8,219,219
100,1024,38933,2,12,0.55,8,219,219
100,1024,46309,2,12,0.55,8,218,218
100,1024,55061,2,11,0.55,8,218,218
100,1024,65437,2,11,0.55,8,218,218
100,1024,77893,2,11,0.55,8,217,217
100,1024,92669,2,11,0.55,8,217,217
100,1024,110069,2,10,0.55,8,217,217
100,1024,130981,2,10,0.55,8,216,216
100,1024,155861,2,10,0.55,8,216,216
100,1024,185309,2,10,0.55,8,216,216
100,1024,220421,2,10,0.55,8,215,215
100,1024,262133,2,9,0.55,8,215,215
100,1024,311677,2,9,0.55,8,215,215
100,1024,370693,2,9,0.55,8,215,215
100,1024,440821,2,9,0.55,8,214,214
100,1024,524269,2,9,0.55,8,214,214
100,1024,623477,2,9,0.55,8,214,214
100,1024,741413,2,9,0.55,8,214,214
100,1024,881669,2,9,0.55,8,213,213
100,1024,1048573,2,8,0.55,8,213,213
100,1024,1048361,4,877,0.54,8,213,213
100,1024,1246829,2,8,0.55,8,213,213
100,1024,1246841,4,375,0.54,8,213,213
100,1024,1482869,2,8,0.55,8,213,213
100,1024,1482889,4,241,0.54,8,213,213
100,1024,1763477,2,8,0.55,8,213,213
100,1024,1763417,4,179,0.54,8,213,213
100,1024,2097133,2,8,0.55,8,212,212
100,1024,2097097,4,143,0.54,8,212,212
100,1024,2493877,2,8,0.55,8,212,212
100,1024,2493929,4,119,0.54,8,212,212
100,1024,2965757,2,8,0.55,8,212,212
100,1024,2965609,4,103,0.54,8,212,212
100,1024,3526949,2,8,0.55,8,212,212
100,1024,3526937,4,91,0.54,8,212,212
100,1024,4194301,2,8,0.55,8,212,212
100,1024,4194217,4,81,0.54,8,212,212
100,1024,4987877,2,8,0.55,8,211,211
100,1024,4987769,4,74,0.54,8,211,211
100,1024,5931637,2,8,0.55,8,211,211
100,1024,5931529,4,68,0.54,8,211,211
100,1024,7053877,2,8,0.55,8,211,211
100,1024,7053817,4,63,0.54,8,211,211
100,1024,8388581,2,8,0.55,8,211,211
100,1024,8388473,4,58,0.54,8,211,211
100,1024,9975773,2,7,0.55,8,211,211
100,1024,9975737,4,55,0.55,8,211,211
100,1024,11863253,2,7,0.55,8,211,211
100,1024,11862857,4,52,0.55,8,211,211
100,1024,14107837,2,7,0.55,8,211,211
100,1024,14107801,4,49,0.55,8,211,211
100,1024,16777213,2,7,0.55,8,210,210
100,1024,16777049,4,46,0.55,8,210,210
100,1024,19951549,2,7,0.55,8,210,210
100,1024,19951513,4,44,0.55,8,210,210
100,1024,23726557,2,7,0.55,8,210,210
100,1024,23726489,4,42,0.55,8,210,210
100,1024,28215757,2,7,0.55,8,210,210
100,1024,28215689,4,41,0.55,8,210,210
100,1024,33554341,2,7,0.55,8,210,210
100,1024,33554393,4,39,0.55,8,210,210
100,1024,39903077,2,7,0.55,8,210,210
100,1024,39903161,4,38,0.55,8,210,210
100,1024,47453053,2,7,0.55,8,210,210
100,1024,47452777,4,36,0.55,8,210,210
100,1024,56431597,2,7,0.55,8,210,210
100,1024,56431513,4,35,0.55,8,210,210
100,1024,67108837,2,7,0.55,8,209,209
100,1024,67108777,4,34,0.55,8,209,209
100,1024,79806317,2,7,0.55,8,209,209
100,1024,79806281,4,33,0.55,8,209,209
100,1024,94906213,2,7,0.55,8,209,209
100,1024,94906249,4,32,0.55,8,209,209
100,1024,112863197,2,7,0.55,8,209,209
100,1024,112863193,4,31,0.55,8,209,209
100,1024,134217613,2,7,0.55,8,209,209
100,1024,134217689,4,31,0.55,8,209,209
100,1024,159612653,2,7,0.55,8,209,209
100,1024,159612601,4,30,0.55,8,209,209
100,1024,189812501,2,7,0.55,8,209,209
100,1024,189812377,4,29,0.55,8,209,209
100,1024,225726349,2,7,0.55,8,209,209
100,1024,225726377,4,29,0.55,8,209,209
100,1024,268435157,2,7,0.55,8,209,209
100,1024,268435337,4,28,0.55,8,209,209
100,1024,319225229,2,7,0.55,8,208,208
100,1024,319225129,4,27,0.55,8,208,208
100,1024,379624981,2,7,0.55,8,208,208
100,1024,379624793,4,27,0.55,8,208,208
100,1024,451452797,2,7,0.55,8,208,208
100,1024,451452761,4,26,0.55,8,208,208
100,1024,536870909,2,7,0.55,8,208,208
100,1024,536870729,4,26,0.55,8,208,208
100,1024,638450677,2,7,0.55,8,208,208
100,1024,638450569,4,25,0.55,8,208,208
100,1024,759249973,2,7,0.55,8,208,208
100,1024,759249817,4,25,0.55,8,208,208
100,1024,902905637,2,7,0.55,8,208,208
100,1024,902905417,4,24,0.55,8,208,208
100,1024,1073741789,2,6,0.55,8,208,208
100,1024,1073741689,4,24,0.55,8,208,208
100,1024,34359737917,2,7,2.46,32,206,206
100,1024,34359738121,4,40,2.44,32,206,206
100,1024,1099511627581,2,9,20.26,256,205,205
100,1024,1099511627689,4,56825,19.23,256,205,205
100,1024,35184372088693,2,10,162.6,2048,205,205
100,1024,1125899906842597,2,12,1299.87,16384,204,204
100,1024,36028797018963901,2,13,10394.32,131072,204,204
100,1024,1152921504606846869,2,16,83046.79,1048576,203,203
100,1024,36893488147419103117,2,18,663884.57,8388608,203,203
100,1024,1180591620717411303389,2,21,5305956.73,67108864,203,203
100,1024,37778931862957161709141,2,24,42412266.03,536870912,202,202
100,1024,1208925819614629174704869,2,33,677251609.5,8589934592,202,202
100,1024,38685626227668133590597613,2,38,5413267718.22,68719476736,202,202
100,1024,1237940039285380274899124149,2,61,86359029694.45,1099511627776,202,202
100,1024,39614081257132168796771974957,2,77,689881617621.57,8796093022208,202,202
100,1024,1267650600228229401496703205277,2,201,10973527891514.24,140737488355328,202,202
100,1024,40564819207303340847894502571893,2,421,87396273538672.73,1125899906842624,202,202
100,512,1276901389,2,54,323.26,4096,208,208
100,512,1518500213,2,49,323.45,4096,208,208
100,512,1805811253,2,165,642.15,8192,208,208
100,512,2147483629,2,125,643.24,8192,208,208
100,512,2553802813,2,101,644.09,8192,207,207
100,512,3037000493,2,85,644.78,8192,207,207
100,512,3611622517,2,73,645.39,8192,207,207
100,512,4294967197,2,65,645.85,8192,207,207
100,512,5107605589,2,518,1275.44,16384,207,207
100,512,6074000981,2,261,1280.77,16384,207,207
100,512,7223245061,2,176,1283.87,16384,207,207
100,512,8589934237,2,133,1286.08,16384,207,207
100,512,10215211261,2,107,1287.81,16384,207,207
100,512,12148001941,2,90,1289.19,16384,207,207
100,512,17179869053,2,6198768,2417.11,32768,207,207
100,512,20430422653,2,550,2550.04,32768,207,207
100,512,24296003933,2,277,2560.7,32768,207,207
100,512,28892980741,2,186,2566.95,32768,207,207
100,512,68719476493,2,13124262,4814.68,65536,206,206
100,512,81721690669,2,582,5098.41,65536,206,206
100,512,97184015909,2,293,5119.72,65536,206,206
100,512,274877906837,2,27692843,9590.86,131072,206,206
100,1024,1276901389,2,6,0.55,8,208,208
100,1024,1276901369,4,24,0.55,8,208,208
100,1024,1518500213,2,6,0.55,8,208,208
100,1024,1518499849,4,23,0.55,8,208,208
100,1024,1805811253,2,6,0.55,8,208,208
100,1024,1805811209,4,23,0.55,8,208,208
100,1024,2147483629,2,7,1.19,16,208,208
100,1024,2147483497,4,36,1.18,16,208,208
100,1024,2553802813,2,7,1.19,16,207,207
100,1024,2553802633,4,35,1.18,16,207,207
100,1024,3037000493,2,7,1.19,16,207,207
100,1024,3037000249,4,34,1.18,16,207,207
100,1024,3611622517,2,7,1.19,16,207,207
100,1024,3611622569,4,33,1.18,16,207,207
100,1024,4294967197,2,7,1.19,16,207,207
100,1024,4294967161,4,32,1.18,16,207,207
100,1024,5107605589,2,7,1.19,16,207,207
100,1024,5107605449,4,31,1.18,16,207,207
100,1024,6074000981,2,7,1.19,16,207,207
100,1024,6074000969,4,31,1.18,16,207,207
100,1024,7223245061,2,7,1.19,16,207,207
100,1024,7223245193,4,30,1.18,16,207,207
100,1024,8589934237,2,7,1.19,16,207,207
100,1024,8589934201,4,30,1.18,16,207,207
100,1024,10215211261,2,7,2.46,32,207,207
100,1024,10215211177,4,51,2.43,32,207,207
100,1024,12148001941,2,7,2.46,32,207,207
100,1024,12148001849,4,49,2.43,32,207,207
100,1024,14446490341,2,7,2.46,32,207,207
100,1024,14446490297,4,47,2.43,32,207,207
100,1024,17179869053,2,7,2.46,32,207,207
100,1024,17179868873,4,46,2.43,32,207,207
100,1024,20430422653,2,7,2.46,32,207,207
100,1024,20430422633,4,44,2.43,32,207,207
100,1024,24296003933,2,7,2.46,32,207,207
100,1024,24296003881,4,43,2.44,32,207,207
100,1024,28892980741,2,7,2.46,32,207,207
100,1024,28892980777,4,41,2.44,32,207,207
100,1024,40860845237,2,8,5.01,64,206,206
100,1024,40860845209,4,87,4.93,64,206,206
100,1024,48592007941,2,8,5.01,64,206,206
100,1024,48592007929,4,81,4.93,64,206,206
100,1024,57785961589,2,8,5.01,64,206,206
100,1024,57785961481,4,76,4.94,64,206,206
100,1024,68719476493,2,8,5.01,64,206,206
100,1024,68719476713,4,72,4.94,64,206,206
100,1024,81721690669,2,8,5.01,64,206,206
100,1024,81721690601,4,68,4.94,64,206,206
100,1024,97184015909,2,8,5.01,64,206,206
100,1024,97184015497,4,65,4.94,64,206,206
100,1024,115571923261,2,8,5.01,64,206,206
100,1024,115571923001,4,62,4.94,64,206,206
100,1024,137438953349,2,8,5.01,64,206,206
100,1024,137438953273,4,60,4.94,64,206,206
100,1024,163443381341,2,8,10.1,128,206,206
100,1024,163443381337,4,237,9.89,128,206,206
100,1024,194368031357,2,8,10.1,128,206,206
100,1024,194368031929,4,199,9.9,128,206,206
100,1024,231143846573,2,8,10.1,128,206,206
100,1024,231143846201,4,172,9.91,128,206,206
100,1024,274877906837,2,8,10.1,128,206,206
100,1024,274877906857,4,152,9.91,128,206,206
100,1024,326886762677,2,8,10.1,128,206,206
100,1024,326886762409,4,136,9.92,128,206,206
100,1024,388736063669,2,8,10.1,128,206,206
100,1024,388736063689,4,123,9.93,128,206,206
100,1024,462287693117,2,8,10.1,128,206,206
100,1024,462287693033,4,113,9.93,128,206,206
100,1024,549755813869,2,8,10.1,128,206,206
100,1024,549755813881,4,104,9.94,128,206,206
100,1024,653773525333,2,9,20.26,256,206,206
100,1024,777472127917,2,9,20.26,256,206,206
100,1024,924575386213,2,9,20.26,256,206,206
100,1024,1307547050669,2,8,20.28,256,205,205
100,1024,1307547050617,4,1262,19.66,256,205,205
100,1024,1554944255581,2,8,20.28,256,205,205
100,1024,1554944255321,4,642,19.74,256,205,205
100,1024,1849150772509,2,8,20.28,256,205,205
100,1024,1849150772201,4,432,19.79,256,205,205
100,1024,2199023255477,2,9,40.61,512,205,205
100,1024,2615094101309,2,9,40.61,512,205,205
100,1024,3109888511941,2,9,40.61,512,205,205
100,1024,3698301545149,2,9,40.61,512,205,205
100,1024,4398046511093,2,9,40.61,512,205,205
100,1024,5230188202933,2,9,40.61,512,205,205
100,1024,6219777023869,2,9,40.61,512,205,205
100,1024,7396603090549,2,9,40.61,512,205,205
100,1024,8796093022141,2,10,81.26,1024,205,205
100,1024,10460376406133,2,9,81.31,1024,205,205
100,1024,12439554047861,2,9,81.31,1024,205,205
100,1024,14793206181197,2,9,81.31,1024,205,205
100,1024,17592186043877,2,9,81.31,1024,205,205
100,1024,20920752812437,2,9,81.31,1024,205,205
100,1024,24879108095749,2,9,81.31,1024,205,205
100,1024,29586412362421,2,10,162.6,2048,205,205
100,1024,41841505624661,2,10,162.6,2048,205,205
100,1024,49758216191597,2,10,162.6,2048,205,205
100,1024,59172824724677,2,10,162.6,2048,205,205
100,1024,70368744177029,2,10,162.6,2048,205,205
100,1024,83683011249821,2,10,162.6,2048,205,205
100,1024,99516432383141,2,11,325.08,4096,205,205
100,1024,118345649449757,2,10,325.28,4096,205,205
100,1024,140737488355213,2,10,325.28,4096,204,204
100,1024,167366022499573,2,10,325.28,4096,204,204
100,1024,199032864766069,2,10,325.28,4096,204,204
100,1024,236691298899397,2,10,325.28,4096,204,204
100,1024,281474976710597,2,10,325.28,4096,204,204
100,1024,334732044999437,2,11,650.25,8192,204,204
100,1024,398065729532797,2,11,650.25,8192,204,204
100,1024,473382597799157,2,11,650.25,8192,204,204
100,1024,562949953421189,2,11,650.25,8192,204,204
100,1024,669464089999021,2,11,650.25,8192,204,204
100,1024,796131459065597,2,11,650.25,8192,204,204
100,1024,946765195598437,2,12,1299.87,16384,204,204
